Key,en,es,ar,hi,fr
Fee Calculator,Fee Calculator,Calculadora de tarifas,حاسبة الرسوم,शुल्क कैलक्यूलेटर,Calculateur de frais
Watch Video,Watch Video,Ver video,شاهد الفيديو,वीडियो देखें,Regarder la vidéo
Need Help? Contact our,Need Help? Contact our,¿Necesitas ayuda? Contactar a nuestro,تحتاج مساعدة؟ اتصل بنا,मदद की ज़रूरत है? हमसे संपर्क करें,Besoin d'aide ? Contactez notre
support & tell us about your query.,support & tell us about your query.,Apoye y cuéntanos sobre tu consulta.,الدعم وأخبرنا عن استفسارك.,समर्थन करें और हमें अपने प्रश्न के बारे में बताएं।,soutenez et parlez-nous de votre requête.
Years Of Ecperience,Years Of Ecperience,Años de la época,سنوات من التجربة,अनुभव के वर्ष,Années d'expérience
Feedback,Feedback,Comentario,تعليق,प्रतिक्रिया,Retour
Contributors,Contributors,Colaboradores,المساهمين,योगदानकर्ताओं,Contributeurs
Tags,Tags,Etiquetas,العلامات,टैग,Balises
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة,हाल के पोस्ट,Messages récents
PHONE NUMBER,PHONE NUMBER,NÚMERO DE TELÉFONO,رقم التليفون,फ़ोन नंबर,NUMÉRO DE TÉLÉPHONE
EMAIL ADDRESS,Email Address,DIRECCIÓN DE CORREO ELECTRÓNICO,عنوان البريد الإلكتروني,मेल पता,Adresse email
SCHEDULE,SCHEDULE,CRONOGRAMA,جدول,अनुसूची,CALENDRIER
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن,अभी लॉगिन करें,Connectez-vous maintenant
Setup Top Up Game,Setup Top Up Game,Configurar el juego de recarga,الإعداد أعلى اللعبة,सेटअप टॉप अप गेम,Configurer le jeu de recharge
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,वेब सामग्री सेटअप करें,Configurer le contenu Web
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,सेटअप अनुभाग,Section de configuration
Header Slider,Header Slider,Control deslizante de encabezado,منزلق الرأس,हेडर स्लाइडर,Curseur d'en-tête
Donetion,Donetion,Donación,الدون,दान,Donation
About,About,Acerca de,عن,के बारे में,À propos
Why Choose,Why Choose,Por qué elegir,لماذا الاختيار,क्यों चुनें?,Pourquoi choisir
Testimonial,Testimonial,Testimonial,شهادة,गुणों का वर्ण-पत्र,Témoignage
Footer,Footer,Pie de página,تذييل,फ़ुटबाल,Pied de page
FAQ,FAQ,Preguntas más frecuentes,التعليمات,अक्सर पूछे जाने वाले प्रश्न,FAQ
Category,Category,Categoría,فئة,वर्ग,Catégorie
Blog,Blog,Blog,مدونة,ब्लॉग,Blogue
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع,भुगतान के तरीके,Méthodes de paiement
Automatic,Automatic,Automático,تلقائي,स्वचालित,Automatique
Bonus,Bonus,Prima,علاوة,बोनस,Prime
Total Review Top Up,Total Review Top Up,Total Review Top Up,إجمالي المراجعة أعلى لأعلى,कुल समीक्षा टॉप अप,Rechargement de l'avis total
Review Payment:,Review Payment:,Pago de revisión:,دفع المراجعة:,भुगतान की समीक्षा करें:,Examiner le paiement :
Total Pending Top Up,Total Pending Top Up,Total de recarga pendiente,إجمالي معلق أعلى لأعلى,कुल लंबित टॉप अप,Total de recharge en attente
Total Settled Top Up,Total Settled Top Up,Total de recarga establecida,إجمالي تسوية أعلى لأعلى,कुल व्यवस्थित टॉप अप,Recharge totale réglée
Total Complete Top Up,Total Complete Top Up,Total completo,إجمالي الكامل أعلى لأعلى,कुल पूर्ण टॉप अप,Recharge totale complète
Complete,Complete,Completo,مكتمل:,पूरा,Complet
Add Money Balance,Add Money Balance,Agregar saldo de dinero,أضف رصيد الأموال,धन शेष जोड़ें,Ajouter un solde d'argent
User Active Tickets,User Active Tickets,Tickets activos del usuario,تذاكر المستخدم النشطة,उपयोगकर्ता सक्रिय टिकट,Tickets actifs pour les utilisateurs
Pending,Pending,Pendiente,قيد الانتظار,लंबित,En attente
Solved,Solved,Resuelto,تم حلها,सुलझ गया,Résolu
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,कुल उपयोगकर्ता,Nombre total d'utilisateurs
Active,Active,Activo,نشيط,सक्रिय,Actif
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه,असत्यापित,Non vérifié
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual de dinero Agregar,شهري إضافة الرسم البياني المال,मासिक धन जोड़ें चार्ट,Tableau d'ajout d'argent mensuel
Monthly Top Up Chart,Monthly Top Up Chart,Gráfico mensual de recarga,الرسم البياني شهريًا شهريًا,मासिक टॉप अप चार्ट,Tableau de recharge mensuel
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم,उपयोगकर्ता विश्लेषण,Analyse des utilisateurs
Latest Add Money,Latest Add Money,Último agregar dinero,أحدث إضافة المال,नवीनतम पैसा जोड़ें,Dernier ajout d'argent
Time,Time,Tiempo,وقت,समय,Temps
Title,Title,Título,عنوان,शीर्षक,Titre
Create Date,Create Date,Fecha de Creación,إنشاء تاريخ,तिथि बनाएं,Date de création
Action,Action,Acción,فعل,कार्रवाई,Action
Top Up Create,Top Up Create,Recargar crear,تسبق إنشاء,टॉप अप बनाएं,Recharger Créer
On Hold,On Hold,En espera,في الانتظار,होल्ड पर,En attente
Top Up details for,Top Up details for,Recargar detalles para,تتصدر التفاصيل ل,टॉप अप विवरण के लिए,Détails de la recharge pour
Progress of Top Up Transactions,Progress of Top Up Transactions,Progreso de las transacciones de recarga,تقدم معاملات أعلى,टॉप अप लेनदेन की प्रगति,Progression des transactions de recharge
Payable,Payable,Pagadero,مستحق الدفع,देय,Payable
Recharge,Recharge,Recargar,تعبئة رصيد,फिर से दाम लगाना,Recharger
Charge,Charge,Cargar,تكلفة,शुल्क,Charge
Amount,Amount,Cantidad,كمية,मात्रा,Montant
Method,Method,Método,طريقة,तरीका,Méthode
Welcome To,Welcome To,Bienvenido a,مرحبا بك في,आपका स्वागत है,Bienvenue à
Full Name,Full Name,Nombre completo,الاسم الكامل,पूरा नाम,Nom et prénom
Username,Username,Nombre de usuario,اسم المستخدم,उपयोगकर्ता नाम,Nom d'utilisateur
Phone,Phone,Teléfono,هاتف,फ़ोन,Téléphone
Role,Role,Role,دور,भूमिका,Rôle
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع,साइट का आधार रंग,Couleur de base du site
Top Up Game,Top Up Game,Juego de recarga,تتصدر اللعبة,टॉप अप गेम,Jeu de recharge
Add Top Up,Add Top Up,Agregar sobrenado,أضف أعلى,टॉप अप जोड़ें,Ajouter une recharge
Create,Create,Crear,يخلق,बनाएं,Créer
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي,प्रोफ़ाइल छवि,Image de profil
Cover Image,Cover Image,Imagen de portada,تغطية الصورة,कवर छवि,Image de couverture
Recharge Amount,Recharge Amount,Cantidad de recarga,إعادة شحن المبلغ,पुनर्भरण राशि,Montant de recharge
Price,Price,Precio,سعر,कीमत,Prix
Download App,Download App,Descargar aplicación,تحميل التطبيق,ऐप डाउनलोड करें,Télécharger l'application
Top Up Edit,Top Up Edit,Superar editar,تعديل أعلى,टॉप अप संपादित करें,Recharger Modifier
Type,Type,Tipo,يكتب,प्रकार,Taper
Add,Add,Agregar,يضيف,जोड़ना,Ajouter
Review Payment Logs,Review Payment Logs,Revise los registros de pago,مراجعة سجلات الدفع,भुगतान लॉग की समीक्षा करें,Examiner les journaux de paiement
Confirm Payment Logs,Confirm Payment Logs,Confirmar registros de pago,تأكيد سجلات الدفع,भुगतान लॉग की पुष्टि करें,Confirmer les journaux de paiement
Delayed Logs,Delayed Logs,Registros retrasados,سجلات تأخر,विलंबित लॉग,Journaux retardés
All Logs,All Logs,Todos los registros,جميع السجلات,सभी लॉग,Tous les journaux
Login Information,Login Information,Información Entrar,معلومات تسجيل الدخول,लॉगिन जानकारी,Informations de connexion
Manual,Manual,Manual,يدوي,नियमावली,Manuel
Contact,Contact,Contacto,اتصال,संपर्क,Contact
Notification,Notification,Notificación,إشعار,अधिसूचना,Notification
Review Logs,Review Logs,Registros de revisión,مراجعة سجلات,लॉग की समीक्षा करें,Examiner les journaux
Confirm Logs,Confirm Logs,Confirmar registros,تأكيد سجلات,लॉग की पुष्टि करें,Confirmer les journaux
On Hold Logs,On Hold Logs,En espera registros,على سجلات التعليق,होल्ड लॉग्स पर,Journaux en attente
Settled Logs,Settled Logs,Registros establecidos,سجلات تسوية,व्यवस्थित लॉग,Journaux réglés
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة,पूर्ण लॉग,Journaux terminés
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة,रद्द किए गए लॉग,Journaux annulés
Failed Logs,Failed Logs,Registros fallidos,سجلات فاشلة,विफल लॉग,Journaux ayant échoué
Refunded Logs,Refunded Logs,Registros reembolsados,سجلات استرداد,वापस किए गए लॉग,Journaux remboursés
Dalayed Logs,Dalayed Logs,Troncos dalayed,سجلات Dalayed,डेलेयड लॉग्स,Journaux journalisés
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP,ओटीपी समाप्ति,Expiration du OTP
Timezone,Timezone,Zona horaria,وحدة زمنية,समयक्षेत्र,Fuseau horaire
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,सक्रियण सेटिंग्स,Paramètres d'activation
Extensions,Extensions,Extensiones,الامتدادات,एक्सटेंशन,Rallonges
Please input your email and password and login to your account to get access to your dashboard.,Please input your email and password and login to your account to get access to your dashboard.,Ingrese su correo electrónico y contraseña e inicie sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال بريدك الإلكتروني وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.,कृपया अपना ईमेल और पासवर्ड दर्ज करें और अपने डैशबोर्ड तक पहुंच पाने के लिए अपने खाते में लॉगिन करें।,Veuillez saisir votre e-mail et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,कोई खाता नहीं है?,Vous n'avez pas de compte ?
Register Now,Register Now,Regístrate ahora,سجل الان,अभी पंजीकरण करें,Inscrivez-vous maintenant
Register Information,Register Information,Registrar información,تسجيل المعلومات,जानकारी पंजीकृत करें,Informations sur l'inscription
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية,गोपनीयता नीति,politique de confidentialité
I have agreed with,I have agreed with,He estado de acuerdo con,لقد وافقت مع,मैं इससे सहमत हूं,je suis d'accord avec
Game Topup,Game Topup,Topup del juego,لعبة اشحن رصيدك,गेम टॉपअप,Recharge de jeu
Add Money,Add Money,Agregar dinero,إضافة المال,पैसे जोड़ें,Ajouter de l'argent
Transaction,Transaction,Transacción,عملية,लेन-देन,Transaction
Purchase Logs,Purchase Logs,Comprar registros,سجلات الشراء,लॉग खरीदें,Journaux d'achat
2FA Security,2FA Security,2FA SEGURIDAD,2FA الأمن,2एफए सुरक्षा,Sécurité 2FA
Help Center,Help Center,Centro de ayuda,مركز المساعدة,सहायता केंद्र,Centre d'aide
How can we help you?,How can we help you?,como podemos ayudarte?,كيف يمكننا مساعدتك؟,हम आपकी कैसे मदद कर सकते हैं?,Comment pouvons-nous vous aider ?
Get Support,Get Support,Obtener apoyo,احصل على الدعم,समर्थन प्राप्त करें,Obtenir de l'aide
Overview,Overview,Descripción general,ملخص,सिंहावलोकन,Aperçu
Balance,Balance,Balance,توازن,संतुलन,Équilibre
Total Top Up,Total Top Up,Total de recarga,مجموع أعلى,कुल टॉप अप,Recharge totale
Total Transaction,Total Transaction,Transacción total,المعاملة الكلية,कुल लेनदेन,Transaction totale
Add Money Chart,AddMoney Chart,Gráfico de addmoney,أضف مخطط المال,धन जोड़ें चार्ट,Graphique AddMoney
Top Up Games Chart,Top Up Games Chart,Tabla de juegos de recarga,قم بتوضيح الرسم البياني للألعاب,टॉप अप गेम्स चार्ट,Tableau des jeux de recharge
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات,हस्तांतरण लॉग,Journal des transactions
View More,View More,Ver más,عرض المزيد,और देखें,Voir plus
Profile,Profile,Perfil,حساب تعريفي,प्रोफ़ाइल,Profil
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي,प्रोफ़ाइल सेटिंग्स,Paramètres du profil
Delete,Delete,Borrar,يمسح,मिटाना,Supprimer
Country,Country,País,دولة,देश,Pays
Change,Change,Cambiar,يتغير,परिवर्तन,Changement
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل انت متأكد من الحذف,क्या वाकई हटाना है,Êtes-vous sûr de supprimer
Delete Account,Delete Account,Borrar cuenta,حذف الحساب,खाता हटा दो,Supprimer le compte
Close,Close,Cerca,يغلق,बंद करना,Fermer
If you do not think you will use,If you do not think you will use,Si no crees que usarás,إذا كنت لا تعتقد أنك ستستخدم,अगर आपको नहीं लगता तो आप इस्तेमाल करेंगे,Si vous ne pensez pas utiliser
"again and like your account deleted, we can take card of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted, we can take card of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","De nuevo y al igual que su cuenta eliminada, podemos tomar una tarjeta de esto para usted. Tenga en cuenta que no podrá reactivar su cuenta o recuperar ninguno de los contenidos o información que haya agregado. Si aún desea que su cuenta se elimine, haga clic en ""Eliminar cuenta"".","مرة أخرى ومثل حسابك المحذوفة ، يمكننا أخذ بطاقة من هذا لك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال تحب حذف حسابك ، فانقر فوق ""حذف الحساب"".؟","फिर से और जैसे आपका खाता हटा दिया गया है, हम आपके लिए इसका कार्ड ले सकते हैं। ध्यान रखें कि आप अपने खाते को पुनः सक्रिय नहीं कर पाएंगे या आपके द्वारा जोड़ी गई किसी भी सामग्री या जानकारी को पुनः प्राप्त नहीं कर पाएंगे। यदि आप अभी भी अपना खाता हटाना चाहते हैं, तो ""खाता हटाएं"" पर क्लिक करें।","encore une fois et comme votre compte a été supprimé, nous pouvons en prendre note pour vous. Gardez à l’esprit que vous ne pourrez pas réactiver votre compte ni récupérer le contenu ou les informations que vous avez ajoutés. Si vous souhaitez toujours supprimer votre compte, cliquez sur « Supprimer le compte ». ?"
Update,Update,Actualizar,تحديث,अद्यतन,Mise à jour
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني,समर्थन टिकट,Billets d'assistance
Add New,Add New,Agregar nuevo,اضف جديد,नया जोड़ो,Ajouter un nouveau
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر,टिकट आईडी,Identifiant du billet
Email,Email,Correo electrónico,بريد إلكتروني,ईमेल,E-mail
Message,Message,Mensaje,رسالة,संदेश,Message
Last Reply,Last Reply,Última respuesta,الرد الأخير,अंतिम उत्तर,Dernière réponse
Transactions,Transactions,Actas,المعاملات,लेनदेन,Transactions
Top Up Balance via,Top Up Balance via,Superar el equilibrio a través de,قم بتوازن التوازن عبر,टॉप अप बैलेंस के माध्यम से,Recharger le solde via
Time & Date,Time & Date,Hora Fecha,الوقت والتاريخ,समय एवं दिनांक,Heure et date
Transaction ID,Transaction ID,ID de transacción,رقم المعاملة,लेन-देन आईडी,ID de transaction
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,विनिमय दर,Taux de change
Fees & Charge,Fees & Charge,Tarifas y cargo,الرسوم والشحن,फीस एवं शुल्क,Frais et charges
Total Amount,Total Amount,Cantidad total,المبلغ الإجمالي,कुल राशि,Montant total
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,اثنان عامل المصادقة,दो कारक प्रमाणक,Authentificateur à deux facteurs
Disable,Disable,Desactivar,إبطال,अक्षम करना,Désactiver
Enable,Enable,Permitir,يُمكَِن,सक्षम,Activer
Download the Google Authentication App,Download Google Authenticator App,Descargar la aplicación Google Authenticator,قم بتنزيل تطبيق مصادقة جوجل,Google प्रमाणक ऐप डाउनलोड करें,Téléchargez l'application Google Authenticator
Login/Register,Login/Register,Iniciar sesión/registrarse,دخولتسجيل,लॉगइन/रजिस्टर करें,Connexion/Inscription
Please,Please,Por favor,لو سمحت,कृपया,S'il te plaît
Your Account,Your Account,Su cuenta,الحساب الخاص بك,आपका खाता,Votre compte
Add Money Summary,Add Monay Summary,Agregar resumen de monay,أضف ملخص المال,मोने सारांश जोड़ें,Ajouter un résumé d'argent
Entered Amount,Entered Amount,Cantidad ingresada,تم إدخال المبلغ,दर्ज की गई राशि,Montant saisi
Total Fees,Total Fees,Tarifas totales,الرسوم الكلية,कुल शुल्क,Frais totaux
Charges,Charges,Cargos,رسوم,प्रभार,Frais
Will Get,Will Get,Obtendrá,سوف تحصل,लाऊंगा,obtiendra
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق,कुल देय राशि,Montant total à payer
Confirm,Confirm,Confirmar,يتأكد,पुष्टि करना,Confirmer
Payment Gateway,Payment Gateway,Pasarela,بوابة الدفع,भुगतान गेटवे,Passerelle de paiement
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر,उपलब्ध शेष राशि,Solde disponible
Add Balance via,Add Balance via,Agregar balance a través de,أضف التوازن عبر,के माध्यम से शेष राशि जोड़ें,Ajouter un solde via
Are You Sure To,Are You Sure To,¿Estás seguro de,هل أنت متأكد من ذلك,क्या आप निश्चित हैं,Êtes-vous sûr de
Logout,Logout,Cerrar sesión,تسجيل خروج,लॉग आउट,Déconnexion
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة,नया टिकट जोड़ें,Ajouter un nouveau billet
Name,Name,Nombre,اسم,नाम,Nom
Subject,Subject,Sujeto,موضوع,विषय,Sujet
Image,Image,Imagen,صورة,छवि,Image
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,लेन-देन और लॉग,Transactions et journaux
Password,Password,Contraseña,كلمة المرور,पासवर्ड,Mot de passe
Reset,Reset,Reiniciar,إعادة ضبط,रीसेट करें,Réinitialiser
Username OR Email Address,Username OR Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو البريد الالكتروني,उपयोगकर्ता का नाम या ईमेल पता,Nom d'utilisateur OU adresse e-mail
Send,Send,Enviar,يرسل,भेजना,Envoyer
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o nombre de usuario de su cuenta,أدخل عنوان بريدك الإلكتروني أو اسم المستخدم,अपना खाता ईमेल पता या उपयोगकर्ता नाम दर्ज करें,Entrez l'adresse e-mail ou le nom d'utilisateur de votre compte
Reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور,पासवर्ड रीसेट,Réinitialiser le mot de passe
Login,Login,Acceso,تسجيل الدخول,लॉग इन करें,Se connecter
Forgot Password?,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟,पासवर्ड भूल गए?,Mot de passe oublié ?
Enter your email and we'll send you a otp to reset your password.,Enter your email and we'll send you a otp to reset your password.,Ingrese su correo electrónico y le enviaremos un OTP para restablecer su contraseña.,أدخل بريدك الإلكتروني وسنرسل لك OTP لإعادة تعيين كلمة المرور الخاصة بك.,अपना ईमेल दर्ज करें और हम आपका पासवर्ड रीसेट करने के लिए आपको एक ओटीपी भेजेंगे।,Entrez votre email et nous vous enverrons un OTP pour réinitialiser votre mot de passe.
credentials,credentials,cartas credenciales,أوراق اعتماد,साख,informations d'identification
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟,क्या आपके पास पहले से एक खाता मौजूद है?,Vous avez déjà un compte ?
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد,आप इसके बाद कोड दोबारा भेज सकते हैं,Vous pouvez renvoyer le code après
Submit,Submit,Entregar,يُقدِّم,जमा करना,Soumettre
